reservation_code,listing_id,guest_id,check_in,check_out,net_revenue,platform,cleaning_fee,pet_fee
HMHMRE5H4R,3,62,2026-05-07,2026-05-08,56688,Airbnb,25000,0
HM2Q5RXF2F,3,63,2026-05-09,2026-05-10,68239,Airbnb,25000,0
HMH22CFQEA,3,64,2026-05-13,2026-05-14,68955,Airbnb,25000,15000
HMQ24TZTMJ,3,65,2026-05-15,2026-05-17,116137,Airbnb,25000,0
HMTAKRZC8P,3,66,2026-05-17,2026-05-19,93602,Airbnb,25000,0
HMZFJC4XN2,3,67,2026-05-20,2026-05-23,193063,Airbnb,30000,0
HM2WFPYAHC,3,68,2026-05-23,2026-05-24,75707,Airbnb,25000,0
HM34JY2BMA,2,69,2026-05-07,2026-05-08,56436,Airbnb,22000,0
HMWHNN9PHY,2,70,2026-05-09,2026-05-10,62619,Airbnb,22000,0
HMCRJ4MJBH,2,71,2026-05-12,2026-05-15,126616,Airbnb,27000,5000
HMFHYDMBY5,2,72,2026-05-15,2026-05-16,62619,Airbnb,22000,0
HMAXJHWQ88,2,73,2026-05-16,2026-05-17,62619,Airbnb,22000,0
HMNNHAEBMB,2,74,2026-05-17,2026-05-19,95543,Airbnb,22000,0
HMBHSJWQ3B,2,75,2026-05-20,2026-05-21,50564,Airbnb,22000,0
HMSP2EME94,2,76,2026-05-21,2026-05-23,137012,Airbnb,22000,10000
HMF2QS3MF9,2,77,2026-05-23,2026-05-24,62313,Airbnb,22000,0